代码,名称,策略,分类,最新价,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,距年高跌幅%,日均成交额亿,止损位,目标位,盈亏比,score
000048,京基智农,碗口反弹,靠近短期趋势线,22.17,18.0,22.16,20.8,6.54,2.47,17,10.9,16.0,3.86,20.39,26.38,2.37,64.8
002675,东诚药业,碗口反弹,靠近多空线,12.9,14.3,13.04,12.98,0.48,3.43,7,6.0,30.9,1.12,12.56,13.72,2.41,64.7
300453,三鑫医疗,碗口反弹,靠近多空线,9.65,1.2,9.78,9.66,1.23,2.96,11,7.7,17.1,1.55,9.31,10.46,2.38,63.8
301602,超研股份,碗口反弹,靠近多空线,16.44,5.9,16.91,16.51,2.45,2.31,11,22.7,57.8,1.59,15.52,21.28,5.26,62.7
002370,亚太药业,碗口反弹,靠近多空线,5.55,8.7,5.64,5.63,0.16,2.89,13,16.3,41.0,2.48,5.27,6.63,3.86,62.2
300705,九典制药,碗口反弹,靠近多空线,11.33,12.7,11.57,11.46,0.99,2.02,7,14.1,71.5,1.84,10.76,13.19,3.26,61.5
688237,超卓航科,碗口反弹,靠近多空线,55.66,12.2,57.39,56.13,2.25,2.24,17,10.9,22.6,1.33,52.51,71.91,5.16,61.4
000009,中国宝安,碗口反弹,靠近多空线,7.26,13.4,7.51,7.38,1.83,2.37,15,13.5,43.2,3.45,7.01,8.39,4.52,60.7
002219,新里程,碗口反弹,靠近短期趋势线,2.27,18.0,2.27,2.19,3.59,2.49,12,14.7,31.2,3.7,2.15,2.66,3.25,60.4
000756,新华制药,碗口反弹,靠近多空线,13.43,16.1,13.81,13.81,0.03,2.27,7,9.3,28.2,2.01,12.91,15.43,3.85,60.1
603713,密尔克卫,碗口反弹,靠近多空线,64.51,16.1,65.36,64.56,1.24,2.46,16,7.8,23.2,1.97,61.45,83.97,6.36,59.9
000908,石药景峰,碗口反弹,靠近多空线,6.52,14.7,6.72,6.65,1.0,2.55,16,11.3,31.2,1.87,6.2,7.84,4.13,59.5
002550,千红制药,碗口反弹,靠近多空线,6.74,18.1,6.87,6.81,0.86,2.61,11,12.8,47.1,2.28,6.45,7.73,3.41,59.3
601882,海天精工,碗口反弹,靠近多空线,19.92,11.9,20.12,19.99,0.65,2.79,13,9.3,34.1,1.69,19.18,21.97,2.77,59.0
